text,label,lang
开心地小跳着走路,高兴,zh
不露声色,平静,zh
气鼓鼓地跺了一下,生气,zh
哭到恍惚,哭泣,zh
哭到握拳,哭泣,zh
突然脸红,害羞,zh
屈服性快感,心动,zh
倒吸凉气,惊讶,zh
把玩自己的尾巴尖,无奈,zh
慌张地握紧又松开,慌张,zh
托腮思索,认真,zh
写下要点,认真,zh
何をすればいいかわからない,慌张,ja
把袜子套手,调皮,zh
紧张地抿嘴唇,紧张,zh
性器充血,心动,zh
抖抖耳朵露出微笑,高兴,zh
把围巾绕了一圈又一圈,无奈,zh
镇定,平静,zh
袖手旁观,平静,zh
愤愤不平地叉腰,生气,zh
心臓がバクバクしてる,紧张,ja
快速做笔记,认真,zh
置身事外,平静,zh
生闷气,生气,zh
失声惊呼,惊讶,zh
害怕地咬着嘴唇,害怕,zh
紧盯着公式,认真,zh
激动地咬着手套,高兴,zh
哺乳期敏感,心动,zh
翻动笔记本,认真,zh
悲鸣,哭泣,zh
把抱枕丢脸,调皮,zh
嫌弃地咂舌,厌恶,zh
怡然自得,自信,zh
害怕地捂住耳朵,害怕,zh
蹦蹦跳跳地转圈,高兴,zh
沉静,平静,zh
钻地缝,难为情,zh
笔直地盯着屏幕,认真,zh
亢奋,高兴,zh
"干巴巴地说""你高兴就好""",无奈,zh
稳如磐石,自信,zh
羞耻漏影,难为情,zh
一丝不苟,认真,zh
稳如老狗,自信,zh
眼神躲闪不敢直视,害怕,zh
扑闪着睫毛,高兴,zh
嘴角上扬,高兴,zh
捧着脸开心地眯眼,高兴,zh
突然撒娇,害羞,zh
蹦蹦跳跳,高兴,zh
困惑地歪着脑袋思考你的话,疑惑,zh
眼神迷离,心动,zh
嫌弃地挥了挥手,厌恶,zh
求偶行为,心动,zh
把糖藏嘴里,调皮,zh
惊慌地四处看,害怕,zh
紧紧抓住衣角,紧张,zh
小心翼翼地往后退,害怕,zh
原地升天,难为情,zh
结结巴巴,紧张,zh
生气地瞪着你,生气,zh
把袜子藏起,调皮,zh
清静无为,平静,zh
轻轻揉了揉眉心,厌恶,zh
紧张地竖起耳朵,担心,zh
用手指卷着围巾玩,无奈,zh
疲惫,平静,zh
意外地倒吸气,惊讶,zh
死死盯着你,生气,zh
终极羞耻,害羞,zh
认命,无奈,zh
不安地握拳又松开,担心,zh
发出轻快的哼声,高兴,zh
低下头缩着肩膀,害怕,zh
露出小尖牙,高兴,zh
渴求爱抚,心动,zh
羞耻漏拍,难为情,zh
激动地抱住抱枕打滚,高兴,zh
假装失聪,难为情,zh
害羞地摸了摸鼻子,害羞,zh
耳朵竖起,生气,zh
害怕地抱头蹲下,害怕,zh
轻咬下唇,紧张,zh
肩膀颤抖,哭泣,zh
慌乱地看表,慌张,zh
木然,平静,zh
骇异非常,惊讶,zh
啜泣不止,哭泣,zh
突然学猫叫,调皮,zh
愤愤不平地跺脚,生气,zh
my palms are sweating,紧张,en
今日は最高の日だ,高兴,ja
"whatever, i give up",无奈,en
呼吸急促,慌张,zh
拉头发逗弄,调皮,zh
跺脚翻白眼,生气,zh
躲开视线不想看,厌恶,zh
吃惊地张开嘴,惊讶,zh
调皮地戳一下就跑,调皮,zh
专心致志,认真,zh
微微皱起眉头,厌恶,zh
下意识握拳,紧张,zh
困惑地歪着头,疑惑,zh
羞耻漏帧,难为情,zh
毫不关心,平静,zh
尴尬地笑,紧张,zh
脸红得像熟透的苹果,害羞,zh
翻着白眼撇嘴,生气,zh
恶心地干呕,厌恶,zh
意外地眨眨眼,惊讶,zh
兴奋地拍打床铺,高兴,zh
听音乐,平静,zh
嬉しくて仕方がない,高兴,ja
匪夷所思,惊讶,zh
处变不惊,自信,zh
羞耻闭眼,难为情,zh
藏东西,调皮,zh
眼泪在眼眶里打转,哭泣,zh
沉溺快感,心动,zh
轻轻按住自己的胸口,害羞,zh
紧张到口干舌燥,紧张,zh
厌恶地抿嘴唇,厌恶,zh
崩溃,慌张,zh
眼眶发红,哭泣,zh
眼神犀利,生气,zh
六神无主,慌张,zh
彻底投降,哭泣,zh
诧异莫名,惊讶,zh
认真地计算,认真,zh
触目惊心,惊讶,zh
焦虑地来回走动,担心,zh
厌恶地抽嘴角,厌恶,zh
屏住呼吸,认真,zh
昏沉,平静,zh
敏感度提升,心动,zh
缩紧尾巴,害怕,zh
愤愤不平地扭头,生气,zh
兴致索然,平静,zh
動くことさえ恐ろしい,害怕,ja
傲然挺立,自信,zh
细心调整内容,认真,zh
忧虑地低头,担心,zh
吹耳朵,调皮,zh
羞耻卡壳,难为情,zh
小跑着靠近你,高兴,zh
羞耻撞墙,难为情,zh
倦意,平静,zh
晃动脚踝,紧张,zh
开心地蹦跳着走路,高兴,zh
目光闪烁,紧张,zh
蹦蹦跳跳地走动,高兴,zh
反感地绷紧下巴,厌恶,zh
不满地哼了一声,生气,zh
用手掌撑着脸颊发呆,无奈,zh
生气地撇过头去,生气,zh
耳朵害羞地轻轻垂下,害羞,zh
假装要亲亲,调皮,zh
轻轻贴近你,高兴,zh
生气地抬起头,生气,zh
愤羞,生气,zh
轻轻拽着你的衣角,害羞,zh
用手指轻轻敲椅背,无奈,zh
轻轻揪着自己的袖子,害怕,zh
担心地追问,担心,zh
自弃自暴,慌张,zh
用手遮住眼睛深呼吸,无奈,zh
黏腻,心动,zh
想要,心动,zh
プレッシャーで一杯だ,紧张,ja
靠着墙慢慢滑坐下去,无奈,zh
微微颤抖着尾巴,害羞,zh
耳朵压低不说话,生气,zh
困惑地歪着脑袋思考你的说法,疑惑,zh
乏力,平静,zh
不知如何回答,慌张,zh
气得头发炸起,生气,zh
用尾巴扫了扫地板,无奈,zh
反感地竖起汗毛,厌恶,zh
突然警觉,紧张,zh
想消失,难为情,zh
ふざけて笑い合う,调皮,ja
开心地小跑转圈,高兴,zh
发情,心动,zh
微微抖动着肩膀,害怕,zh
激动地握拳挥舞,高兴,zh
羞耻漏尿,难为情,zh
大脑过载,难为情,zh
歪着头,疑惑,zh
无精打采,平静,zh
震惊地说不出话,惊讶,zh
把糖纸塞领,调皮,zh
难耐,心动,zh
快乐地前后摆动手臂,高兴,zh
泪浸锁骨,哭泣,zh
